Country,Region,Gdp,Year
Vanuatu,Oceania,3127.0,2021.0
Honduras,Americas,2831.0,2021.0
Congo,Africa,2214.0,2021.0
Bangladesh,Asia,2503.0,2021.0
Lebanon,Asia,2670.0,2021.0
India,Asia,2277.0,2021.0
Zimbabwe,Africa,1737.0,2021.0
Ivory Coast,Africa,2579.0,2021.0
Nicaragua,Americas,2091.0,2021.0
Ghana,Africa,2445.0,2021.0
Mauritania,Africa,1723.0,2021.0
Nigeria,Africa,2085.0,2021.0
Kenya,Africa,2007.0,2021.0
Uzbekistan,Asia,1983.0,2021.0
Solomon Islands,Oceania,2337.0,2021.0
São Tomé and Príncipe,Africa,2449.0,2021.0
Laos,Asia,2551.0,2021.0
East Timor,Asia,1458.0,2021.0
Cambodia,Asia,1591.0,2021.0
Kiribati,Oceania,1515.0,2020.0
Haiti,Americas,1815.0,2021.0
Pakistan,Asia,1538.0,2021.0
Cameroon,Africa,1662.0,2021.0
Senegal,Africa,1607.0,2021.0
Kyrgyzstan,Asia,1276.0,2021.0
Benin,Africa,1428.0,2021.0
Zambia,Africa,1121.0,2021.0
Guinea,Africa,1174.0,2021.0
Comoros,Africa,1495.0,2021.0
Nepal,Asia,1223.0,2021.0
Tanzania,Africa,1136.0,2021.0
Lesotho,Africa,1167.0,2021.0
Uganda,Africa,858.0,2021.0
Myanmar,Asia,1187.0,2021.0
Ethiopia,Africa,944.0,2021.0
Zanziba,Africa,,
Tajikistan,Asia,897.0,2021.0
Togo,Africa,992.0,2021.0
Sudan,Africa,764.0,2021.0
Rwanda,Africa,834.0,2021.0
Syria,Asia,1266.0,2018.0
Yemen,Asia,691.0,2021.0
Mali,Africa,918.0,2021.0
Guinea-Bissau,Africa,813.0,2021.0
Gambia,Africa,836.0,2021.0
Burkina Faso,Africa,918.0,2021.0
Chad,Africa,696.0,2021.0
Liberia,Africa,673.0,2021.0
DR Congo,Africa,584.0,2021.0
Eritrea,Africa,643.0,2011.0
North Korea,Asia,,
Afghanistan,Asia,517.0,2020.0
Niger,Africa,595.0,2021.0
Mozambique,Africa,500.0,2021.0
Somalia,Africa,446.0,2021.0
Malawi,Africa,643.0,2021.0
Madagascar,Africa,515.0,2021.0
Central African Republic,Africa,512.0,2021.0
Sierra Leone,Africa,516.0,2021.0
South Sudan,Africa,1120.0,2015.0
Burundi,Africa,237.0,2021.0
